Equipment Description,Model,Problem,Initial Diagnosis,Work Done
16 Slice,MX16,ISSUE,"The inverter for the CT Scan was reported to be non-functional, as it failed to power on after an electricity cut-off. This interruption prevented the CT Scan from operating.","Upon inspection, it was identified that the UPS battery backup was weak and required replacement. The system was reset, which restored inverter functionality temporarily. After the reset, the inverter powered on successfully, and the CT Scan resumed operation. However, to ensure reliable performance during future power outages, the UPS battery needs to be replaced."
,Prima 450,ISSUE,Leakage Test Failed,"&nbsp;During inspection, leakage was in the circuit.After connecting the circuit properly, the leakage level was in the range and is ready for clinical use. The medical staffs were also given operational training about the circuit leakage."
,AV-S,Issue,Leakage Test Failed,"&nbsp;During inspection, leakage was in the circuit.After connecting the circuit properly, the leakage level was in the range and is ready for clinical use. The medical staffs were also given operational training about the circuit leakage."
,NA,Issue,&nbsp;Reported to be non- functional.,"upon inspection,it was found that the power switch was not working due to disconnect wire. After securely connecting the wire, The machine was operating smoothly."
,NA,Issue,Device reported to be non-functional.,"Upon inspection, the nebulizer was found to be non-operational due to obstruction of the motor fan caused by accumulated dirt and hair, which restricted proper motor rotation. The debris was thoroughly removed, allowing the fan and motor to run smoothly. After functional testing, the nebulizer was confirmed to be operating normally and is ready for clinical use."
,NE100,Issue,Reported to be non-functional.,"Upon inspection, it was an operational issue which &nbsp;has been resolved now."
,CNB69009,Issue,Mist not forming,"During inspection, found the filter rusty. Replaced it, and now the unit is ready to use."
,LD-210C,Issue,The nebulizer was reported to be non-functional.,"Upon inspection, it was found that the power supply cord was damaged, preventing the device from powering on. The damaged cord was repaired and secured properly. After reassembly and testing, the nebulizer was confirmed to be operating smoothly and functioning as intended."
,Air Compressing Nebulizer,Issue,The nebulizer was reported to be non-functional.,"Upon inspection, it was identified that the piston assembly was damaged, preventing proper compression and aerosol generation. The faulty piston was replaced using a compatible piston from another non-functional nebulizer. After reassembly and thorough functional testing, the nebulizer was confirmed to be operating smoothly and delivering aerosol effectively."
,,Issue,Reported to be non-functional due to aerosol leakage.,"&nbsp;Upon inspection, it was found that the issue occurred because the lid cover was not closing properly, which resulted in aerosol leakage during operation. The problem was corrected by fixing the lid mechanism, and the nebulizer was tested to ensure proper function. Additionally, the user was trained on correct handling and operation. After these actions, the device is functioning normally."
,,Issue,Reported to be non-functional.,"Upon inspection, the motor stand was broken which was then repaired and the machine is operating smoothly."
,S7,Issue,The adjustable clamping (locking) lever of the syringe pump was found to be broken.,"Upon inspection, the adjustable clamping lever was confirmed to be damaged and unable to secure the pump properly. As the lever was not repairable, the faulty syringe pump was removed from service and replaced with another functioning syringe pump. The replacement unit was checked and found to be working properly."
Ortho,P200-CV-230,Issue,Motor error displayed; device reported to have motor malfunction.,"The drill machine was reported to have a motor-related error. Upon inspection, both available motors were found to be non-functional and continuously displayed a motor error. To verify the system, a known fully functional motor was cross-checked with the unit, which operated smoothly without any error. This confirmed that the drill machine itself is functioning properly and that the issue lies with the previously used motors, which require replacement."
,HK-400III,Issue,Reported to be non-functional.,"Upon inspection, the syringe was not selected properly. After selecting the syringe correctly, the machine was operating smoothly."
12 channel,CM1200A,Issue,Reported to have a noise issue.,"After adjusting the filter settings, the artifacts has been removed and the machine was tested to confirm it's functionality.Now the machine is fully functional to use."
General Adult/Pediatric,AVEA,ISSUE,Reported to be non-functioning.,"The ventilator was inspected following a reported O₂ calibration failure. During troubleshooting, the oxygen (O₂) sensor was tested and found to be faulty and out of specification. The defective O₂ sensor was replaced with a new, compatible sensor. After replacement, O₂ calibration was performed successfully. The ventilator was then fully tested and confirmed to be operating normally with accurate oxygen concentration readings."
Halogen,20113320,Issue,Light bulb was defective and not functioning.,"Upon inspection, it was found that the bulb had burnt out and required replacement. A new bulb was installed, and the connection was properly soldered to ensure secure contact. After testing, the light source was confirmed to be functioning normally."
